station_name,time_bucket,wind_speed,temperature,dew_point,relative_humidity,rainfall_amount,humidex
DELTA BURNS BOG,2025-11-25 00:00:00-08:00,0.15,3.61,3.6,100.0,0.0,2.45
DELTA BURNS BOG,2025-11-25 00:10:00-08:00,0.76,3.64,3.64,100.0,0.0,2.49
DELTA BURNS BOG,2025-11-25 00:20:00-08:00,0.82,3.94,3.92,100.0,0.0,2.88
DELTA BURNS BOG,2025-11-25 00:30:00-08:00,0.47,4.1,4.1,100.0,0.38,3.1
DELTA BURNS BOG,2025-11-25 00:40:00-08:00,0.92,4.28,4.25,100.0,1.3,3.32
DELTA BURNS BOG,2025-11-25 00:50:00-08:00,3.27,4.48,4.48,100.0,1.94,3.6
DELTA BURNS BOG,2025-11-25 01:00:00-08:00,5.23,4.58,4.55,100.0,2.35,3.72
DELTA BURNS BOG,2025-11-25 01:10:00-08:00,6.58,4.61,4.6,100.0,2.76,3.77
DELTA BURNS BOG,2025-11-25 01:20:00-08:00,5.62,4.7,4.69,100.0,2.8,3.89
DELTA BURNS BOG,2025-11-25 01:30:00-08:00,1.11,4.59,4.57,100.0,2.42,3.74
DELTA BURNS BOG,2025-11-25 01:40:00-08:00,0.42,4.5,4.48,100.0,1.5,3.62
DELTA BURNS BOG,2025-11-25 01:50:00-08:00,0.22,4.37,4.35,100.0,0.86,3.45
DELTA BURNS BOG,2025-11-25 02:00:00-08:00,0.1,4.3,4.3,100.0,0.45,3.36
DELTA BURNS BOG,2025-11-25 02:10:00-08:00,1.16,4.21,4.2,100.0,0.04,3.24
DELTA BURNS BOG,2025-11-25 02:20:00-08:00,0.58,4.14,4.12,100.0,0.0,3.14
DELTA BURNS BOG,2025-11-25 02:30:00-08:00,1.02,4.1,4.08,100.0,0.0,3.09
DELTA BURNS BOG,2025-11-25 02:40:00-08:00,0.63,4.08,4.06,100.0,0.0,3.06
DELTA BURNS BOG,2025-11-25 02:50:00-08:00,0.99,4.0,3.97,100.0,0.0,2.95
DELTA BURNS BOG,2025-11-25 03:00:00-08:00,0.35,3.93,3.87,100.0,0.0,2.85
DELTA BURNS BOG,2025-11-25 03:10:00-08:00,0.0,3.8,3.8,100.0,0.0,2.7
DELTA BURNS BOG,2025-11-25 03:20:00-08:00,0.0,3.83,3.81,100.0,0.0,2.73
DELTA BURNS BOG,2025-11-25 03:30:00-08:00,0.0,3.85,3.83,100.0,0.0,2.76
DELTA BURNS BOG,2025-11-25 03:40:00-08:00,0.01,3.75,3.73,100.0,0.0,2.63
DELTA BURNS BOG,2025-11-25 03:50:00-08:00,0.37,3.6,3.59,100.0,0.0,2.44
DELTA BURNS BOG,2025-11-25 04:00:00-08:00,0.22,3.5,3.5,100.0,0.0,2.31
DELTA BURNS BOG,2025-11-25 04:10:00-08:00,0.31,3.4,3.4,100.0,0.0,2.18
DELTA BURNS BOG,2025-11-25 04:20:00-08:00,0.56,3.32,3.3,100.0,0.0,2.07
DELTA BURNS BOG,2025-11-25 04:30:00-08:00,0.65,3.3,3.3,100.0,0.0,2.05
DELTA BURNS BOG,2025-11-25 04:40:00-08:00,0.26,3.31,3.3,100.0,0.0,2.06
DELTA BURNS BOG,2025-11-25 04:50:00-08:00,0.9,3.33,3.33,100.0,0.0,2.08
DELTA BURNS BOG,2025-11-25 05:00:00-08:00,0.07,3.29,3.25,100.0,0.0,2.02
DELTA BURNS BOG,2025-11-25 05:10:00-08:00,0.01,3.28,3.24,100.0,0.0,2.01
DELTA BURNS BOG,2025-11-25 05:20:00-08:00,0.94,3.23,3.22,100.0,0.0,1.95
DELTA BURNS BOG,2025-11-25 05:30:00-08:00,2.06,3.24,3.23,100.0,0.0,1.96
DELTA BURNS BOG,2025-11-25 05:40:00-08:00,1.92,3.22,3.18,100.0,0.0,1.93
DELTA BURNS BOG,2025-11-25 05:50:00-08:00,1.81,3.26,3.21,100.0,0.0,1.98
DELTA BURNS BOG,2025-11-25 06:00:00-08:00,1.27,3.3,3.29,100.0,0.0,2.04
DELTA BURNS BOG,2025-11-25 06:10:00-08:00,1.57,3.45,3.44,100.0,0.0,2.24
DELTA BURNS BOG,2025-11-25 06:20:00-08:00,0.96,3.46,3.43,100.0,0.0,2.25
DELTA BURNS BOG,2025-11-25 06:30:00-08:00,1.02,3.44,3.42,100.0,0.0,2.22
DELTA BURNS BOG,2025-11-25 06:40:00-08:00,2.27,3.59,3.58,100.0,0.0,2.42
DELTA BURNS BOG,2025-11-25 06:50:00-08:00,1.87,3.7,3.69,100.0,0.0,2.57
DELTA BURNS BOG,2025-11-25 07:00:00-08:00,0.85,3.75,3.71,100.0,0.0,2.62
DELTA BURNS BOG,2025-11-25 07:10:00-08:00,1.17,3.81,3.79,100.0,0.0,2.71
DELTA BURNS BOG,2025-11-25 07:20:00-08:00,1.8,3.92,3.91,100.0,0.0,2.86
DELTA BURNS BOG,2025-11-25 07:30:00-08:00,0.88,3.91,3.89,100.0,0.0,2.84
DELTA BURNS BOG,2025-11-25 07:40:00-08:00,1.08,3.98,3.95,100.0,0.0,2.93
DELTA BURNS BOG,2025-11-25 07:50:00-08:00,1.46,4.01,4.0,100.0,0.0,2.97
DELTA BURNS BOG,2025-11-25 08:00:00-08:00,2.19,4.21,4.18,100.0,0.0,3.23
DELTA BURNS BOG,2025-11-25 08:10:00-08:00,1.71,4.34,4.31,100.0,0.0,3.4
DELTA BURNS BOG,2025-11-25 08:20:00-08:00,3.25,4.5,4.47,100.0,0.0,3.62
DELTA BURNS BOG,2025-11-25 08:30:00-08:00,2.89,4.56,4.5,100.0,0.0,3.69
