station_name,time_bucket,wind_speed,temperature,dew_point,relative_humidity,rainfall_amount,humidex
DELTA BURNS BOG,2025-11-18 00:00:00-08:00,0.01,5.96,5.95,100.0,0.0,5.59
DELTA BURNS BOG,2025-11-18 00:10:00-08:00,0.1,6.06,6.05,100.0,0.0,5.72
DELTA BURNS BOG,2025-11-18 00:20:00-08:00,0.07,6.04,6.03,100.0,0.0,5.69
DELTA BURNS BOG,2025-11-18 00:30:00-08:00,0.0,6.03,6.03,100.0,0.0,5.68
DELTA BURNS BOG,2025-11-18 00:40:00-08:00,0.0,6.04,6.03,100.0,0.0,5.69
DELTA BURNS BOG,2025-11-18 00:50:00-08:00,0.4,5.92,5.9,100.0,0.0,5.53
DELTA BURNS BOG,2025-11-18 01:00:00-08:00,0.26,6.0,5.98,100.0,0.0,5.64
DELTA BURNS BOG,2025-11-18 01:10:00-08:00,0.28,6.0,5.99,100.0,0.0,5.64
DELTA BURNS BOG,2025-11-18 01:20:00-08:00,0.01,5.94,5.92,100.0,0.0,5.55
DELTA BURNS BOG,2025-11-18 01:30:00-08:00,0.19,6.0,6.0,100.0,0.0,5.64
DELTA BURNS BOG,2025-11-18 01:40:00-08:00,0.3,5.9,5.86,100.0,0.0,5.49
DELTA BURNS BOG,2025-11-18 01:50:00-08:00,0.0,5.7,5.7,100.0,0.0,5.24
DELTA BURNS BOG,2025-11-18 02:00:00-08:00,0.0,5.41,5.39,100.0,0.0,4.84
DELTA BURNS BOG,2025-11-18 02:10:00-08:00,0.43,5.4,5.39,100.0,0.0,4.83
DELTA BURNS BOG,2025-11-18 02:20:00-08:00,0.13,5.49,5.46,100.0,0.0,4.94
DELTA BURNS BOG,2025-11-18 02:30:00-08:00,0.43,5.38,5.37,100.0,0.0,4.8
DELTA BURNS BOG,2025-11-18 02:40:00-08:00,0.23,5.22,5.18,100.0,0.0,4.57
DELTA BURNS BOG,2025-11-18 02:50:00-08:00,0.0,5.16,5.16,100.0,0.0,4.51
DELTA BURNS BOG,2025-11-18 03:00:00-08:00,0.0,5.07,5.03,100.0,0.0,4.37
DELTA BURNS BOG,2025-11-18 03:10:00-08:00,0.0,4.95,4.94,100.0,0.0,4.22
DELTA BURNS BOG,2025-11-18 03:20:00-08:00,0.0,5.0,5.0,100.0,0.0,4.29
DELTA BURNS BOG,2025-11-18 03:30:00-08:00,0.0,4.8,4.77,100.0,0.0,4.02
DELTA BURNS BOG,2025-11-18 03:40:00-08:00,0.0,4.39,4.38,100.0,0.0,3.48
DELTA BURNS BOG,2025-11-18 03:50:00-08:00,0.0,4.12,4.1,100.0,0.0,3.12
DELTA BURNS BOG,2025-11-18 04:00:00-08:00,0.0,3.84,3.84,100.0,0.0,2.75
DELTA BURNS BOG,2025-11-18 04:10:00-08:00,0.0,3.44,3.43,100.0,0.0,2.23
DELTA BURNS BOG,2025-11-18 04:20:00-08:00,0.0,2.99,2.96,100.0,0.0,1.63
DELTA BURNS BOG,2025-11-18 04:30:00-08:00,0.0,3.12,3.11,100.0,0.0,1.81
DELTA BURNS BOG,2025-11-18 04:40:00-08:00,0.59,3.11,3.1,100.0,0.0,1.8
DELTA BURNS BOG,2025-11-18 04:50:00-08:00,1.21,2.94,2.92,100.0,0.0,1.57
DELTA BURNS BOG,2025-11-18 05:00:00-08:00,0.98,2.26,2.25,100.0,0.0,0.7
DELTA BURNS BOG,2025-11-18 05:10:00-08:00,0.3,1.95,1.94,100.0,0.0,0.3
DELTA BURNS BOG,2025-11-18 05:20:00-08:00,0.0,2.19,2.17,100.0,0.0,0.6
DELTA BURNS BOG,2025-11-18 05:30:00-08:00,0.0,2.36,2.35,100.0,0.0,0.82
DELTA BURNS BOG,2025-11-18 05:40:00-08:00,0.21,2.71,2.7,100.0,0.0,1.28
